_id,Index_,ReportedYear,Category,Subtype,AssaultSubtype,Sex,AgeGroup,AgeCohort,Count_,ObjectId,geometry
223,NA,2015,Crimes Against the Person,Other,N/A,F,Unknown,Unknown,77,222,null
224,NA,2015,Crimes Against the Person,Other,N/A,F,Youth,12-17,261,223,null
225,NA,2015,Crimes Against the Person,Other,N/A,M,Adult,18-24,303,224,null
226,NA,2015,Crimes Against the Person,Other,N/A,M,Adult,25-34,497,225,null
227,NA,2015,Crimes Against the Person,Other,N/A,M,Adult,35-44,467,226,null
228,NA,2015,Crimes Against the Person,Other,N/A,M,Adult,45-54,442,227,null
229,NA,2015,Crimes Against the Person,Other,N/A,M,Adult,55-64,263,228,null
230,NA,2015,Crimes Against the Person,Other,N/A,M,Adult,65+,140,229,null
231,NA,2015,Crimes Against the Person,Other,N/A,M,Child,<12,91,230,null
232,NA,2015,Crimes Against the Person,Other,N/A,M,Unknown,Unknown,170,231,null
233,NA,2015,Crimes Against the Person,Other,N/A,M,Youth,12-17,174,232,null
234,NA,2015,Crimes Against the Person,Other,N/A,U,Adult,25-34,1,233,null
